Code INS;Entités administratives;Langue;Code NIS;Administratieve eenheden;Taal;;;;;;;;;
24130;Léau;N;24130;Zoutleeuw;N;;;;;;;;;
24133;Linter;N;24133;Linter;N;;;;;;;;;
24062;Louvain;N;24062;Leuven;N;;;;;;;;;
24066;Lubbeek;N;24066;Lubbeek;N;;;;;;;;;
24134;Montaigu-Zichem;N;24134;Scherpenheuvel-Zichem;N;;;;;;;;;
24086;Oud-Heverlee;N;24086;Oud-Heverlee;N;;;;;;;;;
24094;Rotselaar;N;24094;Rotselaar;N;;;;;;;;;
24104;Tervuren;N;24104;Tervuren;N;;;;;;;;;
24135;Tielt-Winge;N;24135;Tielt-Winge;N;;;;;;;;;
24107;Tirlemont;N;24107;Tienen;N;;;;;;;;;
24109;Tremelo;N;24109;Tremelo;N;;;;;;;;;
30000;Province de Flandre Occidentale;;30000;Provincie West-Vlaanderen;;;;;;;;;;
31000;Arrondissement de Bruges;;31000;Arrondissement Brugge;;;;;;;;;;
31003;Beernem;N;31003;Beernem;N;;;;;;;;;
31004;Blankenberge;N;31004;Blankenberge;N;;;;;;;;;
31005;Bruges;N;31005;Brugge;N;;;;;;;;;
31006;Damme;N;31006;Damme;N;;;;;;;;;
31012;Jabbeke;N;31012;Jabbeke;N;;;;;;;;;
31043;Knokke-Heist;N;31043;Knokke-Heist;N;;;;;;;;;
31022;Oostkamp;N;31022;Oostkamp;N;;;;;;;;;
31033;Torhout;N;31033;Torhout;N;;;;;;;;;
31040;Zedelgem;N;31040;Zedelgem;N;;;;;;;;;
31042;Zuienkerke;N;31042;Zuienkerke;N;;;;;;;;;
34000;Arrondissement de Courtrai;;34000;Arrondissement Kortrijk;;;;;;;;;;
34002;Anzegem;N;34002;Anzegem;N;;;;;;;;;
34003;Avelgem;N;34003;Avelgem;N;;;;;;;;;
34022;Courtrai;N;34022;Kortrijk;N;;;;;;;;;
34009;Deerlijk;N;34009;Deerlijk;N;;;;;;;;;
34043;Espierres-Helchin;N;34043;Spiere-Helkijn;N;;;;;;;;;
34013;Harelbeke;N;34013;Harelbeke;N;;;;;;;;;
34023;Kuurne;N;34023;Kuurne;N;;;;;;;;;
34025;Lendelede;N;34025;Lendelede;N;;;;;;;;;
34027;Menin;N;34027;Menen;N;;;;;;;;;
34040;Waregem;N;34040;Waregem;N;;;;;;;;;
34041;Wevelgem;N;34041;Wevelgem;N;;;;;;;;;
34042;Zwevegem;N;34042;Zwevegem;N;;;;;;;;;
32000;Arrondissement de Dixmude;;32000;Arrondissement Diksmuide;;;;;;;;;;
32003;Dixmude;N;32003;Diksmuide;N;;;;;;;;;
32006;Houthulst;N;32006;Houthulst;N;;;;;;;;;
32010;Koekelare;N;32010;Koekelare;N;;;;;;;;;
32011;Kortemark;N;32011;Kortemark;N;;;;;;;;;
32030;Lo-Reninge;N;32030;Lo-Reninge;N;;;;;;;;;
38000;Arrondissement de Furnes;;38000;Arrondissement Veurne;;;;;;;;;;
38002;Alveringem;N;38002;Alveringem;N;;;;;;;;;
38025;Furnes;N;38025;Veurne;N;;;;;;;;;
38014;Koksijde;N;38014;Koksijde;N;;;;;;;;;
38008;La Panne;N;38008;De Panne;N;;;;;;;;;
38016;Nieuport;N;38016;Nieuwpoort;N;;;;;;;;;
35000;Arrondissement d'Ostende;;35000;Arrondissement Oostende;;;;;;;;;;
35002;Bredene;N;35002;Bredene;N;;;;;;;;;
35029;De Haan;N;35029;De Haan;N;;;;;;;;;
35005;Gistel;N;35005;Gistel;N;;;;;;;;;
35006;Ichtegem;N;35006;Ichtegem;N;;;;;;;;;
35011;Middelkerke;N;35011;Middelkerke;N;;;;;;;;;
35013;Ostende;N;35013;Oostende;N;;;;;;;;;
35014;Oudenburg;N;35014;Oudenburg;N;;;;;;;;;
36000;Arrondissement de Roulers;;36000;Arrondissement Roeselare;;;;;;;;;;
36006;Hooglede;N;36006;Hooglede;N;;;;;;;;;
36007;Ingelmunster;N;36007;Ingelmunster;N;;;;;;;;;
36008;Izegem;N;36008;Izegem;N;;;;;;;;;
36010;Ledegem;N;36010;Ledegem;N;;;;;;;;;
36011;Lichtervelde;N;36011;Lichtervelde;N;;;;;;;;;
36012;Moorslede;N;36012;Moorslede;N;;;;;;;;;
36015;Roulers;N;36015;Roeselare;N;;;;;;;;;
36019;Staden;N;36019;Staden;N;;;;;;;;;
37000;Arrondissement de Tielt;;37000;Arrondissement Tielt;;;;;;;;;;
37020;Ardooie;N;37020;Ardooie;N;;;;;;;;;
37002;Dentergem;N;37002;Dentergem;N;;;;;;;;;
37007;Meulebeke;N;37007;Meulebeke;N;;;;;;;;;
37010;Oostrozebeke;N;37010;Oostrozebeke;N;;;;;;;;;
37011;Pittem;N;37011;Pittem;N;;;;;;;;;
37012;Ruiselede;N;37012;Ruiselede;N;;;;;;;;;
37015;Tielt;N;37015;Tielt;N;;;;;;;;;
37017;Wielsbeke;N;37017;Wielsbeke;N;;;;;;;;;
37018;Wingene;N;37018;Wingene;N;;;;;;;;;
33000;Arrondissement d'Ypres;;33000;Arrondissement Ieper;;;;;;;;;;
33039;Heuvelland;N;33039;Heuvelland;N;;;;;;;;;
33040;Langemark-Poelkapelle;N;33040;Langemark-Poelkapelle;N;;;;;;;;;
33016;Messines;N;33016;Mesen;N;;;;;;;;;
33021;Poperinge;N;33021;Poperinge;N;;;;;;;;;
33041;Vleteren;N;33041;Vleteren;N;;;;;;;;;
33029;Wervik;N;33029;Wervik;N;;;;;;;;;
33011;Ypres;N;33011;Ieper;N;;;;;;;;;
33037;Zonnebeke;N;33037;Zonnebeke;N;;;;;;;;;
40000;Province de Flandre Orientale;;40000;Provincie Oost-Vlaanderen;;;;;;;;;;
41000;Arrondissement d'Alost;;41000;Arrondissement Aalst;;;;;;;;;;
41002;Alost;N;41002;Aalst;N;;;;;;;;;
41011;Denderleeuw;N;41011;Denderleeuw;N;;;;;;;;;
41082;Erpe-Mere;N;41082;Erpe-Mere;N;;;;;;;;;
41018;Grammont;N;41018;Geraardsbergen;N;;;;;;;;;
41024;Haaltert;N;41024;Haaltert;N;;;;;;;;;
41027;Herzele;N;41027;Herzele;N;;;;;;;;;
41034;Lede;N;41034;Lede;N;;;;;;;;;
41048;Ninove;N;41048;Ninove;N;;;;;;;;;
41063;Sint-Lievens-Houtem;N;41063;Sint-Lievens-Houtem;N;;;;;;;;;
41081;Zottegem;N;41081;Zottegem;N;;;;;;;;;
45000;Arrondissement d'Audenarde;;45000;Arrondissement Oudenaarde;;;;;;;;;;
45035;Audenarde;N;45035;Oudenaarde;N;;;;;;;;;
45059;Brakel;N;45059;Brakel;N;;;;;;;;;
45062;Horebeke;N;45062;Horebeke;N;;;;;;;;;
45060;Kluisbergen;N;45060;Kluisbergen;N;;;;;;;;;
45068;Kruisem;N;45068;Kruisem;N;;;;;;;;;
45063;Lierde;N;45063;Lierde;N;;;;;;;;;
45064;Maarkedal;N;45064;Maarkedal;N;;;;;;;;;
45041;Renaix;N;45041;Ronse;N;;;;;;;;;
45061;Wortegem-Petegem;N;45061;Wortegem-Petegem;N;;;;;;;;;
45065;Zwalm;N;45065;Zwalm;N;;;;;;;;;
43000;Arrondissement d'Eeklo;;43000;Arrondissement Eeklo;;;;;;;;;;
43002;Assenede;N;43002;Assenede;N;;;;;;;;;
43005;Eeklo;N;43005;Eeklo;N;;;;;;;;;
43007;Kaprijke;N;43007;Kaprijke;N;;;;;;;;;
43010;Maldegem;N;43010;Maldegem;N;;;;;;;;;
43014;Sint-Laureins;N;43014;Sint-Laureins;N;;;;;;;;;
43018;Zelzate;N;43018;Zelzate;N;;;;;;;;;
44000;Arrondissement de Gand;;44000;Arrondissement Gent;;;;;;;;;;
44084;Aalter;N;44084;Aalter;N;;;;;;;;;
44012;De Pinte;N;44012;De Pinte;N;;;;;;;;;
44083;Deinze;N;44083;Deinze;N;;;;;;;;;
44013;Destelbergen;N;44013;Destelbergen;N;;;;;;;;;
44019;Evergem;N;44019;Evergem;N;;;;;;;;;
44021;Gand;N;44021;Gent;N;;;;;;;;;
44020;Gavere;N;44020;Gavere;N;;;;;;;;;
44085;Lievegem;N;44085;Lievegem;N;;;;;;;;;
44034;Lochristi;N;44034;Lochristi;N;;;;;;;;;
44040;Melle;N;44040;Melle;N;;;;;;;;;
44043;Merelbeke;N;44043;Merelbeke;N;;;;;;;;;
44045;Moerbeke;N;44045;Moerbeke;N;;;;;;;;;
44048;Nazareth;N;44048;Nazareth;N;;;;;;;;;
44052;Oosterzele;N;44052;Oosterzele;N;;;;;;;;;
44064;Sint-Martens-Latem;N;44064;Sint-Martens-Latem;N;;;;;;;;;
44073;Wachtebeke;N;44073;Wachtebeke;N;;;;;;;;;
44081;Zulte;N;44081;Zulte;N;;;;;;;;;
46000;Arrondissement de Saint-Nicolas;;46000;Arrondissement Sint-Niklaas;;;;;;;;;;
46003;Beveren;N;46003;Beveren;N;;;;;;;;;
46013;Kruibeke;N;46013;Kruibeke;N;;;;;;;;;
46014;Lokeren;N;46014;Lokeren;N;;;;;;;;;
46021;Saint-Nicolas;N;46021;Sint-Niklaas;N;;;;;;;;;
46020;Sint-Gillis-Waas;N;46020;Sint-Gillis-Waas;N;;;;;;;;;
46024;Stekene;N;46024;Stekene;N;;;;;;;;;
46025;Tamise;N;46025;Temse;N;;;;;;;;;
42000;Arrondissement de Termonde;;42000;Arrondissement Dendermonde;;;;;;;;;;
42003;Berlare;N;42003;Berlare;N;;;;;;;;;
42004;Buggenhout;N;42004;Buggenhout;N;;;;;;;;;
42008;Hamme;N;42008;Hamme;N;;;;;;;;;
42010;Laarne;N;42010;Laarne;N;;;;;;;;;
42011;Lebbeke;N;42011;Lebbeke;N;;;;;;;;;
42006;Termonde;N;42006;Dendermonde;N;;;;;;;;;
42023;Waasmunster;N;42023;Waasmunster;N;;;;;;;;;
42025;Wetteren;N;42025;Wetteren;N;;;;;;;;;
42026;Wichelen;N;42026;Wichelen;N;;;;;;;;;
42028;Zele;N;42028;Zele;N;;;;;;;;;
70000;Province du Limbourg;;70000;Provincie Limburg;;;;;;;;;;
71000;Arrondissement de Hasselt;;71000;Arrondissement Hasselt;;;;;;;;;;
